TIME_PERIOD,OBS_VALUE
1991-01,75.3
1991-02,68.6
1991-03,71.2
1991-04,74.7
1991-05,73.2
1991-06,72.6
1991-07,74.9
1991-08,74.0
1991-09,74.9
1991-10,86.8
1991-11,82.6
1991-12,74.2
1992-01,73.6
1992-02,69.0
1992-03,72.8
1992-04,73.8
1992-05,70.6
1992-06,73.7
1992-07,74.6
1992-08,70.9
1992-09,78.7
1992-10,89.9
1992-11,85.1
1992-12,78.1
1993-01,67.4
1993-02,67.4
1993-03,77.3
1993-04,73.1
1993-05,70.7
1993-06,76.8
1993-07,72.4
1993-08,73.1
1993-09,81.0
1993-10,86.7
1993-11,87.7
1993-12,81.8
1994-01,70.5
1994-02,69.6
1994-03,80.1
1994-04,70.8
1994-05,74.4
1994-06,77.5
1994-07,72.8
1994-08,77.0
1994-09,79.5
1994-10,86.7
1994-11,91.0
1994-12,79.8
1995-01,75.2
1995-02,74.1
1995-03,84.3
1995-04,74.9
1995-05,83.5
1995-06,80.7
1995-07,78.0
1995-08,82.9
1995-09,82.1
1995-10,89.7
1995-11,91.6
1995-12,79.3
1996-01,77.8
1996-02,77.5
1996-03,81.8
1996-04,81.4
1996-05,83.0
1996-06,80.0
1996-07,82.7
1996-08,82.0
1996-09,84.9
1996-10,92.9
1996-11,90.5
1996-12,80.5
1997-01,80.8
1997-02,76.4
1997-03,78.9
1997-04,85.4
1997-05,81.7
1997-06,83.8
1997-07,84.8
1997-08,80.4
1997-09,87.3
1997-10,95.1
1997-11,89.7
1997-12,84.7
1998-01,80.3
1998-02,76.2
1998-03,83.5
1998-04,83.3
1998-05,82.2
1998-06,83.2
1998-07,84.4
1998-08,79.9
1998-09,84.4
1998-10,92.0
1998-11,91.0
1998-12,86.1
1999-01,77.3
1999-02,75.3
1999-03,88.8
1999-04,82.2
1999-05,83.0
1999-06,87.3
1999-07,86.5
1999-08,85.9
1999-09,89.2
1999-10,93.6
1999-11,96.6
1999-12,92.1
2000-01,78.1
2000-02,81.3
2000-03,90.0
2000-04,83.5
2000-05,92.9
2000-06,86.9
2000-07,85.0
2000-08,89.6
2000-09,88.2
2000-10,95.9
2000-11,97.9
2000-12,87.2
2001-01,81.9
2001-02,79.0
2001-03,87.8
2001-04,83.6
2001-05,90.8
2001-06,84.7
2001-07,86.9
2001-08,90.7
2001-09,84.9
2001-10,96.6
2001-11,96.1
2001-12,83.9
2002-01,84.9
2002-02,79.4
2002-03,86.0
2002-04,87.7
2002-05,87.2
2002-06,85.2
2002-07,91.1
2002-08,87.9
2002-09,89.4
2002-10,99.1
2002-11,95.5
2002-12,85.9
2003-01,84.6
2003-02,80.4
2003-03,85.8
2003-04,89.4
2003-05,87.5
2003-06,87.3
2003-07,93.0
2003-08,86.0
2003-09,90.1
2003-10,99.4
2003-11,92.8
2003-12,88.7
2004-01,84.1
2004-02,81.9
2004-03,92.7
2004-04,89.5
2004-05,85.7
2004-06,91.1
2004-07,90.8
2004-08,89.2
2004-09,92.5
2004-10,96.9
2004-11,99.0
2004-12,95.1
2005-01,83.7
2005-02,82.6
2005-03,91.7
2005-04,93.5
2005-05,92.8
2005-06,97.1
2005-07,92.1
2005-08,95.8
2005-09,98.9
2005-10,102.1
2005-11,105.8
2005-12,98.8
2006-01,87.9
2006-02,85.5
2006-03,98.5
2006-04,90.8
2006-05,100.6
2006-06,97.3
2006-07,94.1
2006-08,98.6
2006-09,96.8
2006-10,102.9
2006-11,105.8
2006-12,96.5
2007-01,92.3
2007-02,88.2
2007-03,100.6
2007-04,94.8
2007-05,100.0
2007-06,96.2
2007-07,96.9
2007-08,99.9
2007-09,98.5
2007-10,108.8
2007-11,106.0
2007-12,93.5
2008-01,97.1
2008-02,92.7
2008-03,92.5
2008-04,100.4
2008-05,96.5
2008-06,95.8
2008-07,99.6
2008-08,94.1
2008-09,100.9
2008-10,106.2
2008-11,100.5
2008-12,98.5
2009-01,91.5
2009-02,86.9
2009-03,96.9
2009-04,97.5
2009-05,93.6
2009-06,94.1
2009-07,97.8
2009-08,93.9
2009-09,103.0
2009-10,104.5
2009-11,102.3
2009-12,101.3
2010-01,91.7
2010-02,88.1
2010-03,103.1
2010-04,96.2
2010-05,95.2
2010-06,99.6
2010-07,97.6
2010-08,96.6
2010-09,103.7
2010-10,103.9
2010-11,107.3
2010-12,100.6
2011-01,90.7
2011-02,89.7
2011-03,102.4
2011-04,97.6
2011-05,102.2
2011-06,96.5
2011-07,96.0
2011-08,100.0
2011-09,105.7
2011-10,103.1
2011-11,107.7
2011-12,103.4
2012-01,94.2
2012-02,92.7
2012-03,103.3
2012-04,93.5
2012-05,99.8
2012-06,98.2
2012-07,96.9
2012-08,101.9
2012-09,100.1
2012-10,109.6
2012-11,107.4
2012-12,96.7
2013-01,98.7
2013-02,89.5
2013-03,97.4
2013-04,99.0
2013-05,98.2
2013-06,95.4
2013-07,101.6
2013-08,98.8
2013-09,100.0
2013-10,109.0
2013-11,105.6
2013-12,99.8
2014-01,95.8
2014-02,90.7
2014-03,98.8
2014-04,100.1
2014-05,98.2
2014-06,96.9
2014-07,102.2
2014-08,94.9
2014-09,103.3
2014-10,109.1
2014-11,102.5
2014-12,103.9
2015-01,93.0
2015-02,87.6
2015-03,104.2
2015-04,96.5
2015-05,92.3
2015-06,101.0
2015-07,102.4
2015-08,94.5
2015-09,102.1
2015-10,105.8
2015-11,104.2
2015-12,102.0
2016-01,91.2
2016-02,92.8
2016-03,100.4
2016-04,99.2
2016-05,98.0
2016-06,102.8
2016-07,96.1
2016-08,101.5
2016-09,105.6
2016-10,103.8
2016-11,108.8
2016-12,101.3
2017-01,92.1
2017-02,90.7
2017-03,106.3
2017-04,94.2
2017-05,103.9
2017-06,100.9
2017-07,99.4
2017-08,102.7
2017-09,104.9
2017-10,105.5
2017-11,112.2
2017-12,100.5
2018-01,99.7
2018-02,91.7
2018-03,101.0
2018-04,97.0
2018-05,101.7
2018-06,101.1
2018-07,99.2
2018-08,103.6
2018-09,99.0
2018-10,109.5
2018-11,109.8
2018-12,94.6
2019-01,99.5
2019-02,93.5
2019-03,101.9
2019-04,102.5
2019-05,103.0
2019-06,94.0
2019-07,104.4
2019-08,102.0
2019-09,103.5
2019-10,110.7
2019-11,108.6
2019-12,98.0
2020-01,100.3
2020-02,94.2
2020-03,107.0
2020-04,91.1
2020-05,90.2
2020-06,100.0
2020-07,101.5
2020-08,97.3
2020-09,104.5
2020-10,108.6
2020-11,103.1
2020-12,99.5
2021-01,89.4
2021-02,89.2
2021-03,109.0
