DATAFLOW,LAST UPDATE,freq,indic_bt,nace_r2,s_adj,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:STS_INPR_M(1.0),09/01/25 11:00:00,Monthly,Production (volume),Manufacture of food products and beverages,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Germany,1991-01,75.3,
ESTAT:STS_INPR_M(1.0),09/01/25 11:00:00,Monthly,Production (volume),Manufacture of food products and beverages,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Germany,1991-02,68.6,
ESTAT:STS_INPR_M(1.0),09/01/25 11:00:00,Monthly,Production (volume),Manufacture of food products and beverages,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Germany,1991-03,71.2,
ESTAT:STS_INPR_M(1.0),09/01/25 11:00:00,Monthly,Production (volume),Manufacture of food products and beverages,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Germany,1991-04,74.7,
ESTAT:STS_INPR_M(1.0),09/01/25 11:00:00,Monthly,Production (volume),Manufacture of food products and beverages,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Germany,1991-05,73.2,
ESTAT:STS_INPR_M(1.0),09/01/25 11:00:00,Monthly,Production (volume),Manufacture of food products and beverages,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Germany,1991-06,72.6,
ESTAT:STS_INPR_M(1.0),09/01/25 11:00:00,Monthly,Production (volume),Manufacture of food products and beverages,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Germany,1991-07,74.9,
ESTAT:STS_INPR_M(1.0),09/01/25 11:00:00,Monthly,Production (volume),Manufacture of food products and beverages,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Germany,1991-08,74.0,
ESTAT:STS_INPR_M(1.0),09/01/25 11:00:00,Monthly,Production (volume),Manufacture of food products and beverages,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Germany,1991-09,74.9,
ESTAT:STS_INPR_M(1.0),09/01/25 11:00:00,Monthly,Production (volume),Manufacture of food products and beverages,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Germany,1991-10,86.8,
ESTAT:STS_INPR_M(1.0),09/01/25 11:00:00,Monthly,Production (volume),Manufacture of food products and beverages,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Germany,1991-11,82.6,
ESTAT:STS_INPR_M(1.0),09/01/25 11:00:00,Monthly,Production (volume),Manufacture of food products and beverages,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Germany,1991-12,74.2,
ESTAT:STS_INPR_M(1.0),09/01/25 11:00:00,Monthly,Production (volume),Manufacture of food products and beverages,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Germany,1992-01,73.6,
ESTAT:STS_INPR_M(1.0),09/01/25 11:00:00,Monthly,Production (volume),Manufacture of food products and beverages,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Germany,1992-02,69.0,
ESTAT:STS_INPR_M(1.0),09/01/25 11:00:00,Monthly,Production (volume),Manufacture of food products and beverages,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Germany,1992-03,72.8,
ESTAT:STS_INPR_M(1.0),09/01/25 11:00:00,Monthly,Production (volume),Manufacture of food products and beverages,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Germany,1992-04,73.8,
ESTAT:STS_INPR_M(1.0),09/01/25 11:00:00,Monthly,Production (volume),Manufacture of food products and beverages,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Germany,1992-05,70.6,
ESTAT:STS_INPR_M(1.0),09/01/25 11:00:00,Monthly,Production (volume),Manufacture of food products and beverages,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Germany,1992-06,73.7,
ESTAT:STS_INPR_M(1.0),09/01/25 11:00:00,Monthly,Production (volume),Manufacture of food products and beverages,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Germany,1992-07,74.6,
ESTAT:STS_INPR_M(1.0),09/01/25 11:00:00,Monthly,Production (volume),Manufacture of food products and beverages,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Germany,1992-08,70.9,
ESTAT:STS_INPR_M(1.0),09/01/25 11:00:00,Monthly,Production (volume),Manufacture of food products and beverages,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Germany,1992-09,78.7,
ESTAT:STS_INPR_M(1.0),09/01/25 11:00:00,Monthly,Production (volume),Manufacture of food products and beverages,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Germany,1992-10,89.9,
ESTAT:STS_INPR_M(1.0),09/01/25 11:00:00,Monthly,Production (volume),Manufacture of food products and beverages,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Germany,1992-11,85.1,
ESTAT:STS_INPR_M(1.0),09/01/25 11:00:00,Monthly,Production (volume),Manufacture of food products and beverages,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Germany,1992-12,78.1,
ESTAT:STS_INPR_M(1.0),09/01/25 11:00:00,Monthly,Production (volume),Manufacture of food products and beverages,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Germany,1993-01,67.4,
ESTAT:STS_INPR_M(1.0),09/01/25 11:00:00,Monthly,Production (volume),Manufacture of food products and beverages,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Germany,1993-02,67.4,
ESTAT:STS_INPR_M(1.0),09/01/25 11:00:00,Monthly,Production (volume),Manufacture of food products and beverages,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Germany,1993-03,77.3,
ESTAT:STS_INPR_M(1.0),09/01/25 11:00:00,Monthly,Production (volume),Manufacture of food products and beverages,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Germany,1993-04,73.1,
ESTAT:STS_INPR_M(1.0),09/01/25 11:00:00,Monthly,Production (volume),Manufacture of food products and beverages,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Germany,1993-05,70.7,
ESTAT:STS_INPR_M(1.0),09/01/25 11:00:00,Monthly,Production (volume),Manufacture of food products and beverages,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Germany,1993-06,76.8,
ESTAT:STS_INPR_M(1.0),09/01/25 11:00:00,Monthly,Production (volume),Manufacture of food products and beverages,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Germany,1993-07,72.4,
ESTAT:STS_INPR_M(1.0),09/01/25 11:00:00,Monthly,Production (volume),Manufacture of food products and beverages,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Germany,1993-08,73.1,
ESTAT:STS_INPR_M(1.0),09/01/25 11:00:00,Monthly,Production (volume),Manufacture of food products and beverages,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Germany,1993-09,81.0,
ESTAT:STS_INPR_M(1.0),09/01/25 11:00:00,Monthly,Production (volume),Manufacture of food products and beverages,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Germany,1993-10,86.7,
ESTAT:STS_INPR_M(1.0),09/01/25 11:00:00,Monthly,Production (volume),Manufacture of food products and beverages,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Germany,1993-11,87.7,
ESTAT:STS_INPR_M(1.0),09/01/25 11:00:00,Monthly,Production (volume),Manufacture of food products and beverages,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Germany,1993-12,81.8,
ESTAT:STS_INPR_M(1.0),09/01/25 11:00:00,Monthly,Production (volume),Manufacture of food products and beverages,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Germany,1994-01,70.5,
ESTAT:STS_INPR_M(1.0),09/01/25 11:00:00,Monthly,Production (volume),Manufacture of food products and beverages,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Germany,1994-02,69.6,
ESTAT:STS_INPR_M(1.0),09/01/25 11:00:00,Monthly,Production (volume),Manufacture of food products and beverages,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Germany,1994-03,80.1,
